id,Literal,y_category
2842,Cateterización de arteria radial izquierda,0
2843,STC bilateral,0
2844,salpinguectomia,0
2845,CPRE esfinterotomia,5
2846,utero bicorne part,O
2847,Papiloma intracanalicular,D
2848,dolor abdominal,R
2849,PRESÍNCOPES,R
2850,Dinamica uterina,O
2851,Desgarro grado 2,0
2852,obstrucción carotídeo y vertebral derecho,J
2853,DESPROPORCIÓN PELVICO-CEFÁLICA,O
2854,mtx. ósea,1
2855,Sd ansioso parto,O
2856,angio tac toracico,B
2857,HIPOTIROIDISMO 3T,O
2858,Cardiopatia isquémica,I
2859,laparoscópica-robótica,1
2860,Anemia ferropenica part,O
2861,RN vivo,V
2862,DM anteparto,6
2863,miomatoso,2
2864,MALADAPTACIÓN PULMONAR,P
2865,: 0 RH positivo,Z
2866,Deficit de vit d,E
2867,cst,O
2868,Traqueomalàcia congènita,7
2869,i resp cronica,5
2870,Prótesis de ambas rodillas,Z
2871,Rinovirus,B
2872,AFASIA,R
2873,insuficiencia mitral,I
2874,Circular prieta,O
2875,ALERGIA pENICILINA,V
2876,INSUFICIENCIA RESPIRATORIA crónica,5
2877,tac torax,B
2878,metástasis axilares,1
2879,pòlips gàstrics,K
2880,Hipogonadismo hipogonadotropo,E
2881,tabaco,F
2882,Rizartrosis bilateral,M
2883,rádica,0
2884,21 semanas,Z
2885,historia GEU,Z
2886,Absceso postoperatorio,N
2887,colestasis,K
2888,Hipotiroidismo 2t,O
2889,hemorragia postparto,O
2890,Preeclampsia leve.,O
2891,diarrea crónica,K
2892,melanoma,1
2893,RE POSITIVO +++,Z
2894,lactancia artificial,O
2895,NO DESEA LACTANCIA,O
2896,Gestante de 40,O
2897,TUMORECTOMÍA mama derecha,0
2898,alergia Penicilina,V
2899,Escleros multiple parto,O
2900,Anorexia nerviosa,F
2901,ÓSEAS,1
2902,Hipertension gestacional,O
2903,adenoidectomia yamigdalectomia,2
2904,Extabac,Z
2905,HISTERECTOMIA,0
2906,cervicalgia posparto,O
2907,Aborto incompleto,O
2908,Urolitiasis,N
2909,poliuria,7
2910,IT,I
2911,desgarro perineal de segundo grado,O
2912,tiroiditis de Hashimoto,2
2913,655.03,O
2914,Hiperprolactinemia parto,E
2915,re+,V
2916,EA,T
2917,Grupo sanguíneo: B positivo,Z
2918,MIoma,D
2919,IMC: 41,Z
2920,sd poliglandular,7
2921,Trastorno adaptativo parto,O
2922,Grupo sanguíneo: 0 +,Z
2923,MIOMA,D
2924,Finegoldia,R
2925,FÍSTULA DE LCR,G
2926,Historia de SARS Cov 2,Z
2927,ALERGICO A PENICILINA,Z
2928,Colestasis part,K
2929,Nódulo tiroideo part,E
2930,Dilatación pelvis renal,N
2931,ECO TV,8
2932,carcinoma invasivo,8
2933,Nebulitzacions,3
2934,Monitorizacion fetal,4
2935,MIOMA vagina,D
2936,alcohol parto,F
2937,SGB+,6
2938,CISTOPROSTATECTOMÍA RADICAL lap,0
2939,les parto,O
2940,: 0 positivo,Z
2941,exeresis piel nasal,0
2942,Rx parrilla costal,B
2943,anexectomia bilateral laparoscopica,0
2944,Alergias medicamentosas: nolotil,V
2945,depresiva,F
2946,Esófago de Barrett,0
2947,itu E.faecalis,N
2948,rpm 1,O
2949,fracuta,S
2950,prematuridad 1750,P
2951,RE: positivo,Z
2952,EEG,4
2953,portador de DAI,Z
2954,Apgar1,4
2955,valvula dederivació ventriculo-peritoneal,V
2956,abortadora habitual,6
2957,ENDOMETRIOSIS PROFUNDA DE OVARIO IZQUIERDO,6
2958,hemibloqueo anterior,4
2959,a pos,Z
2960,12 sem,Z
2961,Sutura vaginal,0
2962,febril qx,R
2963,A : NEGATIVO,Z
2964,COLECISTECTOMÍA Lap,5
2965,Desgarro PERINEAL II,O
2966,anorexia nerviosa parto,F
2967,PTR izquierda cementada,0
2968,ceftazidima,9
2969,Historia de Fractrura,Z
2970,COVID parto,O
2971,SPBF,O
2972,vaginosis bacteriana,6
2973,herniorrafia inguinal derecha,5
2974,Pirosis,7
2975,Esteatosis hepática,5
2976,Histerocopia quirúrgica,0
2977,soplo inocente,R
2978,Sd de Blackfan Diamond,D
2979,Amigdalitis aguda no especificada,J
2980,tos,R
2981,imc 41,V
2982,HBP,N
2983,Hemitiroidectomia,V
2984,ERC,N
2985,hipotiroidismo qx part,E
2986,ANEXECTOMIA BILATERAL LAP,0
2987,Distimia,3
2988,Hipotiroidismo part,O
2989,ILE por Trisomia,O
2990,Alergia Nolotil,Z
2991,polimicrogiria frontal bilateral,0
2992,Descompensacio ascitica,4
2993,Esofagitis eosinofílica,K
2994,PTI part,D
2995,herpes simple,8
2996,Ependimoma ventriculo,V
2997,estimulacion oxitocínica,3
2998,bsGC,0
2999,disfuncion renal,N
3000,Nefropatía diabetica,2
3001,trastorno ventilatorio restrictivo,J
3002,Historia de Colicos renales de repetición,Z
3003,Alergica a plantas,Z
3004,GSRH:O positivo,Z
3005,Artritis Reumatoide,M
3006,febril posparto,O
3007,Alergica AMOXICILINA,Z
3008,augmentine,9
3009,meniscectomía derecha,0
3010,Anemia macrocítica,D
3011,IVE,Z
3012,trastorno ansioso depresivo,F
3013,Mastectomia derecha,0
3014,Hermana cáncer de mama,Z
3015,Monorrena quirugica,Q
3016,Protesis de rodilla bilateral,Z
3017,ca mama bilaterl,C
3018,Tumorectomía mama bilateral,0
3019,Sdm depresivo,F
3020,Hipogonadismo hipergonadotropo,E
3021,ALERGIA pirazolona,Z
3022,eventración paraumbilical,5
3023,Podálica,O
3024,ABORTO INCOMPLETO,O
3025,Ecografía obstétrica,8
3026,neo mucinosa,8
3027,36,Z
3028,desgarro 1 grado,0
3029,distensión abdominal,I
3030,Hipoglucemias,2
3031,ecografia obs,8
3032,Klebsiella oxytoca,B
3033,RX Tórax,B
3034,pescado,Z
3035,celiaquia parto,K
3036,Trastono adaptativo,F
3037,Aborto tardio,O
3038,fotofobia,F
3039,Radiografía cervical,B
3040,Alérgica claritromicina,Z
3041,reflux gastroesofàgic,5
3042,strip I,O
3043,"GsRh, A positivo",Z
3044,caída accidental,W
3045,Tos ferina,R
3046,ANEXECTOMÍA BILATERAL,0
3047,carcinoma endometroide,8
3048,Cataracta senil inespecificada,3
3049,ampicilina,3
3050,sutura vesical,0
3051,hipertrofia endometrial,N
3052,h Fractura,V
3053,Asma alergica,Z
3054,Nódulo pulmonar,J
3055,Litiasis Renal,N
3056,Vaginosis,6
3057,cateter arterial,0
3058,Grupo 0 +,Z
3059,laceración en horquilla vaginal,0
3060,Nefrectomía radical dreta laparoscópia,0
3061,HIDROCEFALIA OBSTRUCTIVA,G
3062,ductus arterioso persitente,7
3063,"Artrosi secundària, espatlla dreta",M
3064,Dermatitis seborreica parto,L
3065,Corticoterapia,3
3066,conización part,O
3067,artropatía,M
3068,sgb parto,O
3069,CARCINOMA RENAL DE CÉLULAS CLARAS,8
3070,Tumor vesical,0
3071,seroma cesrea,1
3072,condropatía femoralinterna grado III,M
3073,BiPAP,5
3074,CMV parto,O
3075,UHN izquierda,0
3076,METRORRAGIA POSTIVE,N
3077,alergia a los acaros,Z
3078,SEPTOPLASTIA,0
3079,Rm cerebral,B
3080,Linfadenectomia axilar derecha,0
3081,Infección Respiratoria,J
3082,Prematuridad 36,P
3083,antibiótico,3
3084,obesidad mórbida,E
3085,RAM,1
3086,LT,0
3087,absceso mamario,N
3088,RE NEGATIVO,Z
3089,290.3,F
3090,SGB,6
3091,mutacion protombina,D
3092,Alérgica a Penicilinas,Z
3093,Atrofia renal izquierda,N
3094,ALERGIA A PENICILINA,V
3095,Shock Séptico,R
3096,Hiperglicemia,R
3097,vídeo EEG,4
3098,control posparto,V
3099,embarazo cronológicamente prolongado,O
3100,Cardiopatia isquémica,I
3101,Discopatía degenerativa L5-S1,M
3102,tce sin pc,S
3103,Hemofilia,D
3104,Disfagia,R
3105,GS O rh positivo,Z
3106,insuficiencia cardiaca biventricular,I
3107,Bradicardia sinusal,R
3108,Polipectomia mediante histeroscopia quirúrgica,0
3109,Asma parto,O
3110,Fiebre rn,P
3111,arritmia benigna,I
3112,Gonartrosis D,M
3113,MIOMA anteparto,6
3114,661.43,Z
3115,Amenorrea: 41,O
3116,Protesis de cadera dcha .,Z
3117,Talla baja,R
3118,bipolar,F
3119,H11.001,H
3120,radiografia rodilla bilateral,B
3121,ictericia neonatal,P
3122,HTA irc 3b,N
3123,Sincope,R
3124,duodenoscopia,0
3125,espondiloartrosis lumbar,M
3126,Quimioterapia,9
3127,sonda vesical,0
3128,sangrado posparto,O
3129,Traqueotomía,V
3130,asma anteparto,6
3131,doble J derecho,0
3132,HBP,N
3133,barrera idiomática,Z
3134,Diástasis de recto,M
3135,miomas part,O
3136,desgarro 3 grado,0
3137,RM medular,B
3138,CDI MD,8
3139,Ligadura tubarica,V
3140,anemia microcítica e hipocromica,D
3141,escoliosis parto,O
3142,Radiografía de tórax y abdomen,B
3143,Anemia ferropenica part,O
3144,anemia ferropenica parto,O
3145,multirresistente,Z
3146,CISTOADENOMA SEROSO,8
3147,NACO,Z
3148,Vertigen i mareig,3
3149,laringitis,J
3150,Cirrosis hepática,K
3151,quistectomia ovarica lap,0
3152,S. Aureus,B
3153,port a cath,E
3154,Diabetes Gestacional,O
3155,Apneas del sueño,G
3156,hipomagnesemia,2
3157,Escoliosis lumbar,M
3158,sutura episiotomia,0
3159,"Grupo sanguíneo: O, Rh: POSITIVO",Z
3160,Nódulo pulmonar,J
3161,Neutropenia,2
3162,CISTOPROSTATECTOMÍA RADICAL lap,0
3163,Aborto,1
3164,ecografia cadera izq,B
3165,ein,8
3166,Aminiocentesis,1
3167,Transfusión de 1 CH,3
3168,MC/BA,O
3169,onfalitis rn,P
3170,Amenaça part prematur,O
3171,cicatricial,7
3172,Hematoma de pared abdominal,6
3173,salpinguectomía bilateral laparoscópica,0
3174,dermatitis dishidrótica,L
3175,Metrorragia anemizante,N
3176,distonía larínge,G
3177,hipotiroidisme part,O
3178,Madden izquierda,0
3179,III plano OA,O
3180,TC CEREBRO SIN/CON CONTRASTE,B
3181,tumoración,8
3182,Colitis ulcerosa,K
3183,gastritis crónica part,O
3184,Hemangioma hepático,D
3185,Gastritis crónica,K
3186,MIGRANYA,G
3187,mareos,I
3188,Lupus eritematoso sistémico,L
3189,Psoriasis,L
3190,Down,7
3191,Hipertrigliceridemia parto,O
3192,Tumorectomía mama derecha.,0
3193,herniorrafia umbilical,0
3194,oxígeno,3
3195,Incidentaloma suprarrenal izquierda,D
3196,Retención placentaria,O
3197,Anexectomía derecha laparoscopia,0
3198,Cva,0
3199,levetiracetam,3
3200,Hemicolectomia,Z
3201,ca Mama izquierda,C
3202,rinitis,J
3203,Ca.endometrio,C
3204,57.22,0
3205,TRISOMIA,O
3206,deposiciones líquidas,R
3207,Dostinex,3
3208,Se administra gammaglobulina anti D,6
3209,TC-toracoabdominal,B
3210,Déficit Proteína S parto,O
3211,cistectomía radical lap,0
3212,Absceso tuboovarico,N
3213,RESTOS PLACENTARIOS,O
3214,VASECTOMIA,Z
3215,Miocardiopatía dilatada isquémica,I
3216,Desgarros I grado,O
3217,hta irc 4,N
3218,ceftriaxona,3
3219,Nefrocalcinosis,N
3220,obesidad morbida parto,E
3221,DOBLE ANEXECTOMÍA,0
3222,Riñón en herradura,0
3223,Podálica anteparto,6
3224,historia de neumonias,Z
3225,ca mama bialteral,C
3226,disartria,R
3227,amigdalectomía,2
3228,Depresión mayor,F
3229,HIPERACTIVIDAD VESICAL,5
3230,CIN 1 parto,N
3231,queratocono,L
3232,Anemia de transtornos crónicos,D
3233,Adherencias part,O
3234,DA lap,0
3235,Crohn parto,O
3236,hallux valgus bilateral,M
3237,arteria umbilical única,O
3238,SOP parto,E
3239,mioma subseroso part,D
3240,endometritis aguda,N
3241,DA,0
3242,estenosis laringea,4
3243,Déficit factor VII parto,D
3244,deficit Vit D parto,E
3245,Migrañas PARTO,O
3246,Radiografia de tòrax,B
3247,angio tac torax,B
3248,faldon abdominal,0
3249,ECOGRAFIA TRANSVAGINAL,B
3250,úlcera gástrica parto,O
3251,resección gástrica,Z
3252,Carcinoma endometrio,1
3253,Hidrosalpinx,6
3254,Trombosis historia,V
3255,COVID parto,O
3256,Leucemia linfoide aguda,2
3257,Reflux gastroesofàgic,5
3258,ca Mama bilateral,C
3259,Colestasis gravídica part,6
3260,"Contusió de pulmó, bilateral",S
3261,Síndrome depresivo mayor,F
3262,coma,8
3263,Retención de DIU,R
3264,Fibriliación auricular,I
3265,cigarrillos,B
3266,historia ait,Z
3267,antibiótcio,3
3268,FIBROMA,8
3269,parkinsonismo vascular,G
3270,Gen Protrombina part,O
3271,edoxaban,Z
3272,ECOGRAFÍA UROLÓGICA,B
3273,PARACETAMOL,9
3274,IMC 29,Z
3275,Rinitis perenne,J
3276,Leucopenia neonatal,P
3277,LITIAIS RENAL,N
3278,cordon largo,O
3279,V15.82,Z
3280,Quiste Hemorrágico Derecho,N
3281,LITIASIS RENAL,N
3282,Migrañas con aura part,G
3283,obesidad mórbida part,O
3284,quiste sacro,L
3285,ANTIBIÓTICA,9
3286,carcinoma seroso de alto grado,8
3287,cesrea,1
3288,ostoporosis,M
3289,enfermedad pélvica inflamatoria,N
3290,pàrt,O
3291,diverticulosis sigmoidea,K
3292,PCR COVID: NEGATIVO,Z
3293,NO PROGRESIÓN DE PARTO,O
3294,Neoplasia urotelial,8
3295,Hipoacusia neurosensorial derecha,H
3296,trastorno adaptativo,F
3297,estreñimiento,K
3298,Polimicrogiria,7
3299,déficit factor VIII,D
3300,Dermatitis Atópica parto,O
3301,Anorexia nerviosa parto,F
3302,Colonoscopia,0
3303,SPECT cerebro,B
3304,nefropatía IgA.,N
3305,Carcinoma invasivo,8
3306,historia Ictus iquémico,V
3307,biopsia Mama derecha,0
3308,Coriamnionitis anteparto,6
3309,INSUFICIENCIA MITRAL,I
3310,historia Pólipo colon,V
3311,Alergia a metamizol,Z
3312,Mioma utero,2
3313,Radiografía de torax,B
3314,Ansiedad,F
3315,Hernia hiato,K
3316,historia RETINOBLASTOMA,Z
3317,tea,F
3318,TAC torácico,B
3319,doble anexectomía,0
3320,36 semanas,Z
3321,Historia de Guillain-Barré,Z
3322,estenosis aci,I
3323,Biopsia cervical:,0
3324,atelectasia,J
3325,CÓLICO RENAL DERECHO,N
3326,SGB POSITIVO,O
3327,poliposis colonica,2
3328,insuficiencia venosa parto,I
3329,dolor abdominal anteparto,6
3330,endometriomas ováricos,N
3331,LINFADENECTOMIA AXILAR,0
3332,distocia de hombros,O
3333,IC descompensada,4
3334,Gentamicina,3
3335,Alérgico a clindamicina,9
3336,Hipertensión intracraneal idiopática,3
3337,quiste renal,N
3338,ovario poliquístico parto,O
3339,legrado obstétrico evacuador,1
3340,Luxación congénita de cadera,7
3341,cdi mtx,8
3342,celiaquía part,K
3343,ITU de repetición parto,Z
3344,reba,V
3345,sarcoidosis parto,D
3346,colecistectomía laparoscópica,5
3347,depresivo,F
3348,hepatica,5
3349,Litiaisi renal,N
3350,Amputación supracondilea izquierda,Z
3351,Otitis mitjana aguda,3
3352,quistes hepáticos,K
3353,RM dorsal,B
3354,Mastectomía izquierda,0
3355,Amenaza de aborto,O
3356,"GRUPO SANGUINEO B, Rh Positivo",Z
3357,Grupo sanguineo 0+,Z
3358,cdis mama der,0
3359,Urticaria crónica,L
3360,Historia de stent,Z
3361,candidiasis vaginal part,B
3362,Criptorquídia esquerra,7
3363,Quiste simplerenal,N
3364,cortis,3
3365,sutura vagina,0
3366,SCA,0
3367,Klebsiella pneumoniae,B
3368,ex-Pretermino,6
3369,COXATROSIS DERECHA,M
3370,Enfermedad de Steinert,G
3371,laceracion en labio,0
3372,biopsias colón,0
3373,DPC,O
3374,Puérpera,Z
3375,dematitis atópica parto,L
3376,Adherencias parto,O
3377,amigdalitis a repetición,4
3378,Lumbalgia parto,M
3379,Asma,4
3380,Adenoflemón,6
3381,nefrectomía parcial izquierda laparoscópica,0
3382,fiebre rn,P
3383,retinopatia diabetica,E
3384,carcinoma urotelial papilar,8
3385,v5041,Z
3386,Ulcera duodenal,5
3387,alfa-talassemia part,O
3388,Enolismo,F
3389,mordedura de perro,Z
3390,35 sem,Z
3391,hernioplastia umbilical con colocación de malla,0
3392,c61,O
3393,bulimia nerviosa parto,F
3394,Ca endometri,C
3395,PTR izqda,Z
3396,33,Z
3397,"E.Coli,",B
3398,Neumonia COVID parto,O
3399,ligadura tubárica derecha,0
3400,recambio de Expansor,8
3401,ITU,N
3402,Radiografía de Abdomen,B
3403,Retención de placenta,O
3404,Quilotórax,E
3405,Sínd Lynch,Z
3406,Ca. epidermoide,8
3407,fibrilación auricular permanente,I
3408,Bulimia nerviosa parto,F
3409,Tabac part,F
3410,covid parto,O
3411,Micosis fungoide,B
3412,279.06,Z
3413,Transtorno ansioso-depresivo,F
3414,depresion,F
3415,anemia puerperal,O
3416,multipara añosa,O
3417,glaucoma,H
3418,BOCIO INTRATORÁCICO,E
3419,Sind. mielodisplasico,9
3420,Esferocitosis congénita,7
3421,65501,O
3422,obesitat 3t,E
3423,neumotórax rn,P
3424,cesáre,O
3425,Varices pélvicas,I
3426,lavado gástrico,3
3427,Alteración visual,H
3428,marcapàs,Z
3429,Fumadora part,O
3430,ile por trisomía,O
3431,extracción manual placentaria,1
3432,bronquiectasia,J
3433,DA laparoscópica,0
3434,diabetes mellitus tipo 1,E
3435,anti-D jose,O
3436,Sobrepeso parto,E
3437,Fibrosis quística,E
3438,Hipotiroidisimo part,O
3439,diverticulitis,K
3440,Desgarro vaginales,O
3441,recambio de catéter doble j izquierdo,0
3442,Psoriasis part,L
3443,Glaucoma,H
3444,VULVECTOMÍA RADICAL,0
3445,HISTERECTOMIA total LAPAROSCÓPICA,0
3446,Anemia ferropenica part,O
3447,Ex-prematura,V
3448,Insuficiencia cardiaca,I
3449,anexectomía bilateral por Laparoscopia,0
3450,Insuficiencia Mitral parto,I
3451,Hiperreactvidad bronquial,J
3452,dinamica uterina irregular,O
3453,cirugia profilactica ovario,V
3454,"Desgarro I ,",O
3455,ciclo de quimioterapia,Z
3456,diazepam,3
3457,VM 3,5
3458,FPI,K
3459,alergia contrastes yodados,V
3460,oxitocinica,3
3461,desgarro grado 1.,0
3462,retencion placentaria,O
3463,microangiopatía trombótica,I
3464,Bloqueo av 1 grado,I
3465,Historia de quimio,Z
3466,"Grupo sanguíneo A, Rh negativo",Z
3467,IC,4
3468,DESNUTRICIÓN,E
3469,cistectomía radical laparoscópica,0
3470,Hipertensión arterial -Insuficienta renal crónica,I
3471,cin 1 parto,N
3472,prolactinoma,8
3473,Drenaje torácico,0
3474,histerectomia lap,6
3475,malformación arteriovenosa cerebral,Q
3476,Annexectomia dreta,6
3477,celiaca parto,O
3478,Historia de tromboflebitis,Z
3479,circuncision,0
3480,sindrome Nefrotico,N
3481,Pólipos endometriales,0
3482,Urticaria,L
3483,Pielonefritis Aguda,5
3484,rn mort,Z
3485,O30.032,Z
3486,amenorrea primaria,Z
3487,Hernia discal L5-S1,M
3488,podalica 2,O
3489,antibiotico,3
3490,aneurisma de aorta torácica ascendente,I
3491,histerectomía lap,6
3492,teratoma ovario izq,D
3493,Histerectomía total abd,0
3494,ca mama izqu,C
3495,OSTEOPENIA,M
3496,desgarro vaginal,O
3497,Úlcera estómago,5
3498,acalasia,5
3499,Limfadenectomia axilar,4
3500,Sindrome depresivo,F
3501,sincope,R
3502,anticoagulació,Z
3503,gastritis crónica atrófica,K
3504,Prótesis de cadera izquierda,Z
3505,Flemo parafaringi,4
3506,prótesis mano derecha,Z
3507,hiperprolactinemia,E
3508,salpinguectomía geu izq lap,0
3509,Oxigenoteràpia,3
3510,rciu anteparto,6
3511,hepatoblastoma,1
3512,pesario cervical,9
3513,Quist esplènic,D
3514,deficit factor VII parto,D
3515,discopatía degenerativa lumbar,M
3516,alergias: níquel,Z
3517,NEOPLASIA VESICAL cara lateral,C
3518,Induccion médica de parto,3
3519,endometriosis ovario,6
3520,Mtx hepáticas,1
3521,Bulbitis erosiva,N
3522,RTU-Vesical,0
3523,Adherencias pélvicas,K
3524,Abdominalgia,R
3525,RX de pelvis,B
3526,Nefrostomía percutánea derecha,0
3527,Grupo sanguíneo materno: O Rh: Positivo,Z
3528,BOLSA ROTA,O
3529,diabética,2
3530,Hernias lumbares,M
3531,DOLOR PÉLVICO CRÓNICO,R
3532,recambio de expansor,8
3533,TAC abd,B
3534,carcinoma papilar tiroides,8
3535,GsRh; O positivo,Z
3536,Enfermedad Behcet,M
3537,vía pública,Y
3538,degeneración lumbar,M
3539,mareo,R
3540,EXTRACCION MANUAL placenta,1
3541,Antibioticoterapia,3
3542,Acidosis perinatal,2
3543,Escoliosis part,O
3544,sospecha de pérdida de bienestar fetal,6
3545,S.aureus,B
3546,HISTORIA PERSONAL DE QUIMIOTERAPIA ANTINEOPLASICA,Z
3547,Cefalea migrañosa,3
3548,345.00,Z
3549,accidnet d,X
3550,inhibicion lactea,O
3551,Síndrome adherencial,5
3552,Cardiopatía fetal,O
3553,obesidad exógena,E
3554,Vitíligo,7
3555,perineorrafia,0
3556,lloc,E
3557,gemelar monocorial biamniotico,O
3558,Pólipo endometrial,0
3559,grietas pezon posparto,O
3560,Déficit neurológico,E
3561,infeccion ptc,Z
3562,tged,0
3563,Placenta: retenida,O
3564,angiomas hepáticos,K
3565,Insuficiència venosa crònica,I
3566,Cuerpo extraño,9
3567,Equimosis espontànies,R
3568,Divertículosis colónica,K
3569,no progresión del parto,O
3570,Diabetes gestacional,O
3571,utero bicorne,Q
3572,Biopsia renal esq,0
3573,Leiomiomas,D
3574,migraña part,O
3575,bebe alcohol,F
3576,"Grupo A+,",Z
3577,Hipotiroidismo quirúrgicas parto,O
3578,preeclampsia leve,O
3579,angina crónica estable,I
3580,Hidrocele testicular bilateral,6
3581,E. Coli,B
3582,SOP PARTO,E
3583,Síndrome ansioso-depresivo parto,F
3584,Otitis Mitjana crónica,3
3585,anti D jose,O
3586,ca Mama derecha,C
3587,Barro biliar,K
3588,Weil,0
3589,sialorrea,5
3590,zika parto,O
3591,Litiasis renal,N
3592,Circular,O
3593,playa,O
3594,psoriasis parto,L
3595,salpinguectomía bilateral vía laparóscopica,0
3596,Alergia al ibuprofeno,Z
3597,incontinencia fecal,7
3598,COLITIS ULCEROSA,K
3599,Depresion,F
3600,Grupo 0 POSITIVO,Z
3601,Hipereactividad Bronquial,J
3602,Úlcera gástrica,K
3603,hiperaldosteronismo primario,E
3604,Sobrepeso,E
3605,litiasis ureteral,N
3606,lipoma en antebrazo izquierdo,0
3607,ecografías abdómino-renal,B
3608,gastroscopia con biopsia,0
3609,INSUFICIENCIA CARDIACA,I
3610,Mastectomia tipo Madden mama derecha,0
3611,Ansiedad y depresión,F
3612,podalica,O
3613,S. marcescens,B
3614,neoplasia pancreática,K
3615,angina de esfuerzo,I
3616,Alteración de transaminasas,R
3617,ELONGACION CERVICAL,N
3618,S82.62XA,Z
3619,intolerancia gluten parto,O
3620,Hipotiroidismo parto,O
3621,insulina,Z
3622,Hepatitis crónica VHC,B
3623,colecistectomía laparoscópica,5
3624,uretrografia retrògrada,8
3625,anemización,D
3626,cirrosis biliar,K
3627,ANEXECTOMÍA IZQUIERDA,0
3628,ADHERENCIAS,K
3629,Rechazo de la ingesta,R
3630,Ureterocele congènit,N
3631,K91.0,K
3632,CA escamoso de cérvix,V
3633,SAHOS,3
3634,eco 1t,B
3635,alergia a PENICILINA,V
3636,Soplo cardíaco,R
3637,Atresia esofàgica,7
3638,Flemon dentario,5
3639,Prurito sine materia,L
3640,Apendicitis aguda,K
3641,sulfonilureas,7
3642,taquicardia parto,O
3643,III plano OIIA,O
3644,extrasístoles ventriculares,I
3645,asma parto,O
3646,Rubeola No inmune,O
3647,Enfisema,J
3648,Madden izq,0
3649,donación de médula ósea,4
3650,prótesis auditiva,Z
3651,40+5 sg,Z
3652,SINTROM,Z
3653,prematuro 2000,P
3654,b9689,Z
3655,Ecografía transfontanelar,B
3656,acenocumarol,7
3657,Refluxe gastroesofàgic,K
3658,alergia a tramadol,V
3659,síndrome de hiperestimulación ovárica,N
3660,biopsiade ganglio centinela,4
3661,hemitiroidectomía derecha,0
3662,salpingectomía bilateral,0
3663,75.4,R
3664,Deficit Proteina S parto,O
3665,cefuroxima,9
3666,Cuadros sincopales,R
3667,poliquistosis hepatorrenal,Q
3668,hábito enólico,F
3669,Trastorno obsesivo compulsivo,F
3670,ALERGIAS: CEFUROXIMA,Z
3671,rUBEOLA NO INMUNE,O
3672,Duodenitis,K
3673,obesidad parto,Z
3674,Grupo A+ Rh,Z
3675,prótesis invertida de hombro derecho,0
3676,golpe contra muro,E
3677,gemelar monocorial biamniótica,O
3678,Colangio - RMN,B
3679,DISTOCIA DE HOMBROS,O
3680,Intolerancia a la Lactosa,E
3681,Mioma PARTO,O
3682,excision ovario derecho lap,0
3683,Adherencias part,O
3684,GSRh O +.,Z
3685,Esteatohepatitis alcoholica,K
3686,varices pp,I
3687,Enterococcus,B
3688,mioma subseroso,D
3689,Salpinguectomía geu izq lap,0
3690,Trombectomía acm derecha,0
3691,Rubeola NO INMUNE .,O
3692,Anemia carencial,D
3693,carcinoma espinocelular,8
3694,NEFROPATÍA DIABÉTICA,2
3695,GS: A+,Z
3696,desgarro grado IIIB,0
3697,Diverticulosis coli,K
3698,Lumbalgia crónica,M
3699,gammaglobulina anti D,6
3700,Miopía magna parto,H
3701,VIH part,O
3702,asma parto,O
3703,adrenalina im,3
3704,Histerectomi,0
3705,Plaquetopenia part,D
3706,RECONVERSIÓN A LAPAROTOMIA,Z
3707,Carcinoma de ovario,1
3708,Alergias: Iode-contrastos iodats,Z
3709,aguas teñidas,O
3710,fractura maleolo peroneal derecho,S
3711,: B postivo,Z
3712,Gastritis parto,O
3713,acromioplastia izq,0
3714,Grupo sanguineo: O (+),Z
3715,Policitemia vera,9
3716,Hidrosadenitis,L
3717,Linfadenectomía axilar izquierda,0
3718,Epilepsia focal,G
3719,MASTECTOMÍA MAMA DERECHA,0
3720,Dèficit psicomotor,R
3721,lumbociatalgia,M
3722,Impedanciometria,4
3723,hipoglucemia dm,E
3724,GS 0 +,Z
3725,Hemangioma hepático,D
3726,Herniorrafia umbilical,0
3727,Xoc sèptic 2,7
3728,Hipotensión qx,9
3729,ECOGRAFÍA: Gestación gemelar,B
3730,DTT,0
3731,multiparidad,6
3732,salpinguectomia derecha lap,0
3733,enterovirus,B
3734,Hipermetropia,H
3735,39 semanas,Z
3736,Fumadora PART,O
3737,Fibromiàlgia,M
3738,colonoscopia,0
3739,Suero fisiològic,3
3740,cesarea ant anteparto,6
3741,sinusotomia frontal bilateral,0
3742,Ex-fumadora,Z
3743,40+3 SG,Z
3744,Hipotiroidismo part,O
3745,"Conjuntivitis atòpica aguda, ull no especificat",H
3746,Alérgica a polen,Z
3747,Esofagitis,K
3748,Sinus pilonidal,0
3749,migraña con aura parto,G
3750,Quistes hepáticos,K
3751,Prolapso de cúpula vaginal,N
3752,Grupo sanguínea: A Rh positivo,Z
3753,desnutrición,E
3754,Hipertensión arterial Insuficiencia renal crónica,I
3755,sd .constitucional,R
3756,Obesidad mórbida part,O
3757,dorsal ancho mama derecha,0
3758,port-a-cath,8
3759,desgarro iii,O
3760,Síndrome polimalformativo,Q
3761,dolor abdominal,R
3762,FALTA DE PROGRESION,O
3763,Hipernatremia,E
3764,DGA ANTEPARTO,6
3765,hiperprolactinemia parto,E
3766,metatarsalgia,M
3767,orquiectomía izq,0
3768,caída,W
3769,HIV +,Z
3770,Historia de Fractura,Z
3771,hh,K
3772,SAHS SEVERO,G
3773,E.coli,B
3774,presentación inestable,O
3775,Retraso psicomotor,R
3776,ECO obstétrica,8
3777,sondatge vesical,0
3778,Extrasístoles ventriculares,I
